Name                                                            Id
--------------------------------------------------------------  ------------------------------------
Azure AD Identity Governance Insights                           58c746b0-a0b0-4647-a8f6-12dde5981638
Microsoft Discovery Service                                     6f82282e-0070-4e78-bc23-e6320c5fa7de
ACR-Tasks-Prod                                                  d2fa1650-4805-4a83-bcb9-cf41fe63539c
Bot Framework Dev Portal                                        f3723d34-6ff5-4ceb-a148-d99dcd2511fc
Microsoft Mobile Application Management Backend                 354b5b6d-abd6-4736-9f51-1be80049b91f
Microsoft.MileIQ                                                a25dbca8-4e60-48e5-80a2-0664fdb5c9b6
Azure API for DICOM                                             75e725bf-66ce-4cea-9b9a-5c4caae57f33
Azure Graph                                                     dbcbd02a-d7c4-42fb-8c27-b07e5118b848
ACR-Tasks-Network                                               62c559cd-db0c-4da0-bab2-972528c65d42
Microsoft Office 365 Portal                                     00000006-0000-0ff1-ce00-000000000000
Microsoft Cloud App Security                                    05a65629-4c1b-48c1-a78b-804c4abdd4af
Databricks Resource Provider                                    d9327919-6775-4843-9037-3fb0fb0473cb
Dynamics 365 Business Central                                   996def3d-b36c-4153-8607-a6fd3c01b89f
Managed Disks Resource Provider                                 60e6cd67-9c8c-4951-9b3c-23c25a2169af
Diagnostic Services Trusted Storage Access                      562db366-1b96-45d2-aa4a-f2148cef2240
Azure Data Lake                                                 e9f49c6b-5ce5-44c8-925d-015017e9f7ad
Azure Cognitive Search                                          880da380-985e-4198-81b9-e05b1cc53158
Device Registration Service                                     01cb2876-7ebd-4aa4-9cc9-d28bd4d359a9
Storage Resource Provider                                       a6aa9161-5291-40bb-8c5c-923b567bee3b
Azure Cost Management Scheduled Actions                         6b3368c6-61d2-4a72-854c-42d1c4e71fed
AAD Terms Of Use                                                d52792f4-ba38-424d-8140-ada5b883f293
Yggdrasil                                                       78e7bc61-0fab-4d35-8387-09a8d2f5a59d
Azure Lab Services                                              1a14be2a-e903-4cec-99cf-b2e209259a0f
Azure Notification Service                                      b503eb83-1222-4dcc-b116-b98ed5216e05
aciapi                                                          c5b17a4f-cc6f-4649-9480-684280a2af3a
Azure SQL Database Backup To Azure Backup Vault                 e4ab13ed-33cb-41b4-9140-6e264582cf85
Request Approvals Read Platform                                 d8c767ef-3e9a-48c4-aef9-562696539b39
One Outlook Web                                                 9199bf20-a13f-4107-85dc-02114787ef48
Azure Portal                                                    c44b4083-3bb0-49c1-b47d-974e53cbdf3c
Azure Spring Apps Domain-Management Dogfood                     584a29b4-7876-4445-921e-71e427d4f4b3
Azure VMware Solution RP                                        608f9929-9737-432e-860f-4e1c1821052f
Dynamic Alerts                                                  707be275-6b9d-4ee7-88f9-c0c2bd646e0f
Azure SQL Managed Instance to Microsoft.Network                 76c7f279-7959-468f-8943-3954880e0d8c
Marketplace Caps API                                            184909ca-69f1-4368-a6a7-c558ee6eb0bd
Azure Smart Alerts                                              3af5a1e8-2459-45cb-8683-bcd6cccbcc13
Azure Maps Resource Provider                                    608f6f31-fed0-4f7b-809f-90f6c9b3de78
AzureSupportCenter                                              37182072-3c9c-4f6a-a4b3-b3f91cacffce
Azure Compute                                                   579d9c9d-4c83-4efc-8124-7eba65ed3356
IAMTenantCrawler                                                66244124-575c-4284-92bc-fdd00e669cea
Azure Key Vault Managed HSM Key Governance Service              a1b76039-a76c-499f-a2dd-846b4cc32627
CPIM Service                                                    bb2a2e3a-c5e7-4f0a-88e0-8e01fd3fc1f4
Microsoft Policy Insights Provider Data Plane                   8cae6e77-e04e-42ce-b5cb-50d82bce26b1
Managed Service                                                 66c6d0d1-f2e7-4a18-97a9-ed10f3347016
Billing RP                                                      80dbdb39-4f33-4799-8b6f-711b5e3e61b6
Deprecated - CAS API Security RP Staging                        19b21e10-1304-498b-92d4-4290e94999fa
Microsoft People Cards Service                                  394866fc-eedb-4f01-8536-3ff84b16be2a
Hyper-V Recovery Manager                                        b8340c3b-9267-498f-b21a-15d5547fd85e
